City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
716,Bluff,NZ,46.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
719,Busselton,AU,50.04,overcast clouds,-33.65,115.3333,Observatory Guest House
727,Qaanaaq,GL,41.27,broken clouds,77.484,-69.3632,Qaanaaq Hotel
729,Anadyr,RU,52.3,scattered clouds,64.75,177.4833,"Гостиница ""Анадырь"""
732,Tuktoyaktuk,CA,49.24,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
737,Tasiilaq,GL,44.76,overcast clouds,65.6145,-37.6368,The Red House
743,Hermanus,ZA,55.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
747,Punta Arenas,CL,41.11,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
750,Pangnirtung,CA,52.21,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
755,Lebu,CL,50.13,clear sky,-37.6167,-73.65,Hostal Las Lilas
758,Rawson,AR,55.38,few clouds,-43.3002,-65.1023,Hosteria Sampedro
763,Vardo,NO,47.26,light rain,70.3705,31.1107,Vardø Hotel AS
764,Bredasdorp,ZA,55.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
777,Mataura,NZ,46.47,light rain,-46.1927,168.8643,Ellie's Villa
779,Burnie,AU,51.67,light rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
781,Hobart,AU,55.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
790,Upernavik,GL,42.24,clear sky,72.7868,-56.1549,Gina's Guesthouse - Upernavik
791,Sisimiut,GL,50.34,clear sky,66.9395,-53.6735,Hotel Sisimiut
793,Umba,RU,52.16,broken clouds,66.6871,34.3429,Cedar Grass Beloye More
794,Beringovskiy,RU,45.41,overcast clouds,63.05,179.3167,Beringgorski
796,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
797,Constitucion,CL,53.71,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
798,Chumikan,RU,56.35,overcast clouds,54.7183,135.315,Fortuna
799,Torata,PE,57.04,clear sky,-17.0769,-70.8433,Lodging Sra. Tina Vera
801,Volksrust,ZA,42.08,clear sky,-27.3654,29.8818,Kwa-Dlamathe Guesthouse
802,Ilulissat,GL,57.22,clear sky,69.2167,-51.1,Hotel Arctic
803,Severo-Kurilsk,RU,57.92,scattered clouds,50.6789,156.125,Kak Doma
806,Mbeya,TZ,49.66,few clouds,-8.9,33.45,Leda Lodge
812,Presidencia Roque Saenz Pena,AR,52.7,clear sky,-26.7852,-60.4388,Hotel Gualok
815,Megion,RU,59.02,overcast clouds,61.0296,76.1136,Komfort Hotel
816,New Norfolk,AU,54.9,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
817,Carapegua,PY,53.26,clear sky,-25.8,-57.2333,Maria Celia La Posada
818,Castro,BR,45.18,few clouds,-24.7911,-50.0119,CHACARA BAILLY
825,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.5889999999999995,Airbnb rooms
842,Orcopampa,PE,47.32,light rain,-15.2661,-72.3417,Happy Wasi
844,Chuy,UY,50.72,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
845,Barrow,US,46.42,overcast clouds,71.2906,-156.7887,King Eider Inn
847,Ancud,CL,45.93,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
852,Viedma,AR,50.83,clear sky,-40.8135,-62.9967,Hotel Cristal
854,Esmeraldas,BR,56.26,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
855,Yar-Sale,RU,55.2,light rain,66.8333,70.8333,Yalemd
860,Cape Town,ZA,57.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
865,Kruisfontein,ZA,57.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
