City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2021-08-02 01:09:14,-33.5906,26.891,60.84,82,75,21.85
1,Mmabatho,ZA,2021-08-02 01:09:14,-25.85,25.6333,45.68,36,11,8.16
2,Atuona,PF,2021-08-02 01:07:39,-9.8,-139.0333,77.04,70,34,10.8
3,Jamestown,US,2021-08-02 01:09:15,42.097,-79.2353,62.29,91,90,1.01
4,Pacifica,US,2021-08-02 01:07:34,37.6138,-122.4869,81.73,72,20,3.0
5,Vao,NC,2021-08-02 01:09:15,-22.6667,167.4833,67.64,56,1,13.13
6,Buala,SB,2021-08-02 01:09:16,-8.145,159.5921,79.77,84,100,7.02
7,Padang,ID,2021-08-02 01:09:16,-0.9492,100.3543,75.25,88,100,3.33
8,Cap Malheureux,MU,2021-08-02 01:04:19,-19.9842,57.6142,66.47,85,16,3.0
9,Hobart,AU,2021-08-02 01:09:17,-42.8794,147.3294,52.23,68,20,1.99
10,Yellowknife,CA,2021-08-02 01:07:43,62.456,-114.3525,88.29,32,0,3.0
11,Ushuaia,AR,2021-08-02 01:07:47,-54.8,-68.3,38.86,81,75,11.5
12,Avarua,CK,2021-08-02 01:07:47,-21.2078,-159.775,71.65,88,75,17.27
13,Tiksi,RU,2021-08-02 01:09:18,71.6872,128.8694,51.28,65,31,6.22
14,Pangnirtung,CA,2021-08-02 01:09:18,66.1451,-65.7125,52.39,77,100,1.61
15,Busselton,AU,2021-08-02 01:09:19,-33.65,115.3333,47.05,68,100,7.72
16,Rajula,IN,2021-08-02 01:09:19,21.05,71.4333,79.97,85,100,15.03
17,Honningsvag,NO,2021-08-02 01:09:20,70.9821,25.9704,45.82,85,100,15.48
18,Rikitea,PF,2021-08-02 01:07:49,-23.1203,-134.9692,69.13,57,5,19.44
19,Barrow,US,2021-08-02 01:09:20,71.2906,-156.7887,48.22,75,90,13.8
20,San Patricio,US,2021-08-02 01:09:21,28.017,-97.5169,88.52,68,3,13.09
21,Mar Del Plata,AR,2021-08-02 01:08:32,-38.0023,-57.5575,44.1,1,0,1.99
22,Cape Town,ZA,2021-08-02 01:07:51,-33.9258,18.4232,57.11,84,28,1.99
23,Carman,CA,2021-08-02 01:09:22,49.4992,-98.0016,84.9,23,0,2.73
24,Lagoa,PT,2021-08-02 01:09:22,39.05,-27.9833,71.83,95,100,14.88
25,Cidreira,BR,2021-08-02 01:09:22,-30.1811,-50.2056,55.8,94,4,4.45
