City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2021-07-28 02:51:04,-42.7826,147.0587,56.91,64,53,4.0
1,Hermanus,ZA,2021-07-28 02:52:50,-34.4187,19.2345,51.91,66,99,12.21
2,Peniche,PT,2021-07-28 02:53:01,39.3558,-9.3811,66.72,90,0,18.81
3,Asbestovskiy,RU,2021-07-28 02:53:01,57.7557,61.3967,52.48,60,55,9.17
4,Vao,NC,2021-07-28 02:53:02,-22.6667,167.4833,68.31,62,32,15.64
5,Khatanga,RU,2021-07-28 02:53:02,71.9667,102.5,85.77,39,8,18.66
6,Talnakh,RU,2021-07-28 02:53:02,69.4865,88.3972,61.65,86,96,4.45
7,Ushuaia,AR,2021-07-28 02:51:29,-54.8,-68.3,38.86,93,90,4.61
8,Gloversville,US,2021-07-28 02:50:19,43.0528,-74.3438,65.91,97,75,3.44
9,Pangai,TO,2021-07-28 02:53:03,-19.8,-174.35,75.31,78,75,9.22
10,Gornopravdinsk,RU,2021-07-28 02:53:04,60.05,69.9,53.46,73,5,5.57
11,Punta Arenas,CL,2021-07-28 02:51:14,-53.15,-70.9167,44.71,81,75,20.71
12,Nikolskoye,RU,2021-07-28 02:50:49,59.7035,30.7861,67.8,68,100,4.79
13,Cockburn Town,TC,2021-07-28 02:53:05,21.4612,-71.1419,81.61,78,16,18.81
14,Kununurra,AU,2021-07-28 02:53:05,-15.7667,128.7333,89.58,40,19,5.75
15,Mar Del Plata,AR,2021-07-28 02:50:05,-38.0023,-57.5575,46.13,65,90,11.99
16,Mataura,NZ,2021-07-28 02:53:06,-46.1927,168.8643,52.48,79,79,1.45
17,Castro,BR,2021-07-28 02:53:06,-24.7911,-50.0119,46.02,91,100,7.02
18,Bambous Virieux,MU,2021-07-28 02:53:07,-20.3428,57.7575,67.21,94,75,16.11
19,Arraial Do Cabo,BR,2021-07-28 02:50:16,-22.9661,-42.0278,70.21,84,0,19.93
20,Luderitz,NA,2021-07-28 02:53:07,-26.6481,15.1594,54.54,72,0,9.17
21,Puerto Ayora,EC,2021-07-28 02:50:45,-0.7393,-90.3518,71.38,84,20,8.84
22,Kapaa,US,2021-07-28 02:53:08,22.0752,-159.319,84.18,78,100,3.0
23,Busselton,AU,2021-07-28 02:53:08,-33.65,115.3333,58.05,68,46,19.93
24,Mahebourg,MU,2021-07-28 02:52:52,-20.4081,57.7,67.24,94,75,16.11
25,Tondano,ID,2021-07-28 02:53:09,1.3038,124.9112,84.29,61,17,7.18
26,Aklavik,CA,2021-07-28 02:53:09,68.2191,-135.0107,63.43,66,99,5.53
27,Carnarvon,AU,2021-07-28 02:53:10,-24.8667,113.6333,66.27,54,90,8.05
28,Butaritari,KI,2021-07-28 02:50:55,3.0707,172.7902,81.66,72,100,4.5
29,Barrow,US,2021-07-28 02:51:16,71.2906,-156.7887,42.82,91,90,18.41
30,Hilo,US,2021-07-28 02:50:42,19.7297,-155.09,80.33,83,90,11.5
31,Lompoc,US,2021-07-28 02:52:56,34.6391,-120.4579,71.74,81,90,12.66
32,Port Alfred,ZA,2021-07-28 02:50:50,-33.5906,26.891,60.28,83,11,14.32
33,Avarua,CK,2021-07-28 02:53:11,-21.2078,-159.775,77.05,65,21,4.61
34,Umtata,ZA,2021-07-28 02:53:12,-31.5889,28.7844,57.76,28,0,5.75
35,Tutoia,BR,2021-07-28 02:53:12,-2.7619,-42.2744,78.94,81,50,10.07
36,Colmenar Viejo,ES,2021-07-28 02:53:12,40.6591,-3.7676,74.89,52,0,3.83
37,Saint-Philippe,RE,2021-07-28 02:53:13,-21.3585,55.7679,67.59,88,89,12.86
38,Ponta Do Sol,PT,2021-07-28 02:53:13,32.6667,-17.1,70.72,78,3,3.98
